Ábalos Meco, José Luis  (GS)
Abascal Conde, Santiago  (GVOX)
Aceves Galindo, José Luis  (GS)
Adán de la Paz, María Ángeles  (GCs)
Agirretxea Urresti, Joseba Andoni  (GV (EAJ-PNV))
Aizpurua Arzallus, Mertxe  (GMx)
Alfonso Cendón, Javier  (GS)
Almodóbar Barceló, Agustín  (GP)
Alonso García, María Luisa  (GCs)
Alonso Suárez, María Olga  (GS)
Alonso-Cuevillas i Sayrol, Jaume  (GMx)
Álvarez de Toledo Peralta-Ramos, Cayetana  (GP)
Andrés Añón, Carmen  (GS)
Andrés Barea, Josefa  (GS)
Antón Cacho, Javier  (GS)
Aranda Vargas, Francisco  (GS)
Arangüena Fernández, Pablo  (GS)
Arrimadas García, Inés  (GCs)
Arteaga Espinosa de los Monteros, María Dolores  (GCs)
Asens Llodrà, Jaume  (GCUP-EC-GC)
Bal Francés, Edmundo  (GCs)
Baldoví Roda, Joan  (GMx)
Barandiaran Benito, Íñigo  (GV (EAJ-PNV))
Bartolomé Cachón, José Antonio  (GCs)
Bassa Coll, Montserrat  (GR)
Batet Lamaña, Meritxell  (GS)
Belarra Urteaga, Ione  (GCUP-EC-GC)
Beltrán Villalba, Ana María  (GP)
Berja Vega, Laura  (GS)
Bermúdez de Castro Fernández, José Antonio  (GP)
Betoret Coll, Vicente  (GP)
Blanco Garrido, Mª Mar  (GP)
Blanco Llamas, María Isabel  (GP)
Blanquer Alcaraz, Patricia  (GS)
Bonilla Domínguez, María Jesús  (GP)
Borràs Castanyer, Laura  (GMx)
Borrego Cortés, Isabel María  (GP)
Botella Gómez, Ana María  (GS)
Bravo Barco, Eva  (GS)
Bueno Campanario, Eva Patricia  (GS)
Caballero Gutiérrez, Helena  (GS)
Cabezón Casas, Tomás  (GP)
Calderón Díaz, María José  (GCs)
Calva Ruiz, María Jesús  (GS)
Calvo García, Eduardo  (GCs)
Calvo Poyato, Carmen  (GS)
Cambronero Piqueras, Pablo  (GCs)
Campo Moreno, Juan Carlos  (GS)
Canales Duque, Mariana de Gracia  (GS)
Cancela Rodríguez, Pilar  (GS)
Cañigueral Olivé, Laia  (GR)
Cano Leal, Francisco Javier  (GCs)
Cantera de Castro, Zaida  (GS)
Capdevila i Esteve, Joan  (GR)
Carcedo Roces, María Luisa  (GS)
Carrillo de los Reyes, Beatriz Micaela  (GS)
Carvalho Dantas, María  (GR)
Casado Blanco, Pablo  (GP)
Casero Ávila, Alberto  (GP)
Catalá Polo, Rafael  (GP)
Celaá Diéguez, Isabel  (GS)
Cerdán León, Santos  (GS)
Chamorro Delmo, Ricardo  (GVOX)
Clavell López, Óscar  (GP)
Clemente Guadilla, Luis  (GS)
Contestí Rosselló, Magdalena Margarita  (GVOX)
Corredor Sierra, María Beatriz  (GS)
Cortés Fernández, Juan José  (GP)
Cortés Gómez, Ismael  (GCUP-EC-GC)
Crespín Rubio, Rafaela  (GS)
Cruz-Guzmán García, María Soledad  (GP)
Cuatrecasas Asua, Juan  (GS)
De la Torre Díaz, Francisco  (GCs)
De Meer Méndez, Rocío  (GVOX)
De Páramo Gómez, Fernando  (GCs)
De Quinto Romero, Marcos  (GCs)
Del Campo Estaún, Sergio  (GCs)
Del Moral Leal, María Luisa  (GP)
Delgado Arce, Celso Luis  (GP)
Delgado García, Dolores  (GS)
Delgado Ramos, Juan Antonio  (GCUP-EC-GC)
Díaz Gómez, Guillermo  (GCs)
Díaz Pérez, Yolanda  (GCUP-EC-GC)
Diouf Dioh, Luc Andre  (GS)
Domínguez Paredes, María Victoria  (GCs)
Duque Duque, Pedro  (GS)
Durán Peralta, José Carlos  (GS)
Echániz Salgado, José Ignacio  (GP)
Echenique Robba, Pablo  (GCUP-EC-GC)
Elizo Serrano, María Gloria  (GCUP-EC-GC)
Elorza González, Odón  (GS)
Eritja Ciuró, Francesc Xavier  (GR)
Escudero Berzal, Beatriz Marta  (GP)
España Reina, Carolina  (GP)
Espejo-Saavedra Conesa, José María  (GCs)
Espinosa de los Monteros de Simón, Iván  (GVOX)
Esteban Bravo, Aitor  (GV (EAJ-PNV))
Esteban Calonje, Cristina Alicia  (GVOX)
Faneca López, María Luisa  (GS)
Fernández Benéitez, Andrea  (GS)
Fernández Casero, Ana Belén  (GS)
Fernández Castañón, Sofía  (GCUP-EC-GC)
Fernández González, Justo  (GCs)
Fernández Hernández, Pedro  (GVOX)
Fernández Morena, Blanca  (GS)
Fernández-Bravo García, Francisco Javier  (GCs)
Ferrer Tesoro, Sonia  (GS)
Figaredo Álvarez-Sala, José María  (GVOX)
Franco Carmona, Isabel  (GCUP-EC-GC)
Franco Pardo, José Manuel  (GS)
Freixanet Mateo, María  (GCUP-EC-GC)
Gago Bugarín, Diego  (GP)
Gamarra Ruiz-Clavijo, Concepción  (GP)
Garaulet Rodríguez, Miguel Ángel  (GCs)
Garcés Sanagustín, Mario  (GP)
García Adanero, Carlos  (GMx)
García Chavarría, María Montserrat  (GS)
García Díez, Joaquín María  (GP)
García Egea, Teodoro  (GP)
García Gómez, Valentín  (GS)
García López, Maribel  (GS)
García Molina, Javier Aureliano  (GP)
García Morís, Roberto  (GS)
García Orta, Alejandro  (GCUP-EC-GC)
García Puig, María del Mar  (GCUP-EC-GC)
García Rodríguez, Alicia  (GP)
García Sempere, Eva  (GCUP-EC-GC)
García Tejerina, Isabel  (GP)
García-Pelayo Jurado, María José  (GP)
Garrido Gutiérrez, Pilar  (GCUP-EC-GC)
Garriga Vaz de Concicao, Ignacio  (GVOX)
Garzón Espinosa, Alberto  (GCUP-EC-GC)
Gázquez Collado, Paloma  (GP)
Gil Lázaro, Ignacio  (GVOX)
Giménez Giménez, Sara  (GCs)
Girauta Vidal, Juan Carlos  (GCs)
Gómez Balsera, Marcial  (GCs)
Gómez del Moral Fuster, Gerard  (GR)
Gómez García, Rodrigo  (GCs)
Gómez González, Rubén  (GCs)
Gómez Hernández, Héctor  (GS)
Gómez-Reino Varela, Antonio  (GCUP-EC-GC)
González Caballero, Miguel Ángel  (GS)
González Guinda, María del Carmen  (GP)
González Pérez, Ariagona  (GS)
González Ramos, Manuel Gabriel  (GS)
González Taño, María Guadalupe  (GMx)
González Terol, Antonio  (GP)
González Vázquez, Marta  (GP)
Gorospe Elezcano, Josune  (GV (EAJ-PNV))
Gorrotxategi Azurmendi, Miren  (GCUP-EC-GC)
Grande-Marlaska Gómez, Fernando  (GS)
Granollers Cunillera, Inés  (GR)
Guerra López, Sonia  (GS)
Guijarro Ceballos, María  (GS)
Guijarro García, Txema  (GCUP-EC-GC)
Guillén Figuerola, Lourdes  (GCs)
Guinart Moreno, Lídia  (GS)
Guirao Cabrera, José  (GS)
Gutiérrez Díaz de Otazu, Fernando Adolfo  (GP)
Gutiérrez Prieto, Sergio  (GS)
Gutiérrez Vivas, Miguel Ángel  (GCs)
Hermoso Ayuso, Carlos  (GCs)
Hernández Bento, María del Carmen  (GP)
Hernández Blázquez, Roberto  (GCs)
Hernández Muñoz, Manuel  (GCs)
Hernanz Costa, Sofía  (GS)
Herrero Bono, José Alberto  (GP)
Hervías Chirosa, Francisco Javier  (GCs)
Honrubia Hurtado, Pedro Antonio  (GCUP-EC-GC)
Hoyo Juliá, Belén  (GP)
Iglesias Turrión, Pablo  (GCUP-EC-GC)
Illueca Ballester, Héctor  (GCUP-EC-GC)
Iñarritu García, Jon  (GMx)
Izquierdo Roncero, José Javier  (GS)
Jiménez-Becerril Barrio, María Teresa  (GP)
Jover Díaz, Antonia  (GCUP-EC-GC)
Julià Julià, María Sandra  (GCs)
Junqueras Vies, Oriol  (GMx)
Lamuà Estañol, Marc  (GS)
Lastra Fernández, Adriana  (GS)
Leal Fernández, Isaura  (GS)
Legarda Uriarte, Mikel  (GV (EAJ-PNV))
Lima Cid, Fuensanta  (GS)
López Álvarez, Patxi  (GS)
López Cano, Ignacio  (GS)
López de Uralde Garmendia, Juan Antonio  (GCUP-EC-GC)
López Izquierdo, Sonsoles  (GS)
López Zamora, Cristina  (GS)
López-Bas Valero, Juan Ignacio  (GCs)
Lorite Lorite, Andrés  (GP)
Maestro Moliner, Roser  (GCUP-EC-GC)
Máñez Rodríguez, Elena  (GS)
Marcos Ortega, Milagros  (GP)
Margall Sastre, Joan  (GR)
Marí Klose, Pau  (GS)
Mariscal Anaya, Guillermo  (GP)
Mariscal Zabala, Manuel  (GVOX)
Maroto Illera, Reyes  (GS)
Márquez Guerrero, María  (GCUP-EC-GC)
Marra Domínguez, María Ángeles  (GS)
Marrodán Funes, María  (GS)
Martín Llaguno, Marta  (GCs)
Martínez Ferro, María Valentina  (GP)
Martínez González, José Luis  (GCs)
Martínez Granados, María Carmen  (GCs)
Martínez Seijo, María Luz  (GS)
Matarí Sáez, Juan José  (GP)
Matute García de Jalón, Oskar  (GMx)
Mayo Alonso, Soraya  (GCs)
Mayoral Perales, Rafael  (GCUP-EC-GC)
Mazón Ramos, José María  (GMx)
Meijón Couselo, Guillermo Antonio  (GS)
Mejías Sánchez, Carina  (GCs)
Mena Arca, Joan  (GCUP-EC-GC)
Méndez Monasterio, Lourdes  (GVOX)
Mesquida Ferrando, Joan  (GCs)
Mestre Barea, Manuel  (GVOX)
Millán Salmerón, María Virginia  (GCs)
Mínguez García, Montse  (GS)
Miquel i Valentí, Sergi  (GMx)
Mirón Canelo, José Antonio  (GCs)
Moneo Díez, María Sandra  (GP)
Montero Cuadrado, María Jesús  (GS)
Montero Gil, Irene María  (GCUP-EC-GC)
Montesinos Aguayo, Pablo  (GP)
Montesinos de Miguel, Macarena  (GP)
Montilla Martos, José Antonio  (GS)
Moraleja Gómez, Tristana María  (GP)
Moreno Latorre, Joaquín  (GCs)
Morlà Florit, Pau  (GS)
Moro Almaraz, María Jesús  (GP)
Movellán Lombilla, Diego  (GP)
Moya Sanz, María Amparo  (GCs)
Muñoz Dalda, Lucía  (GCUP-EC-GC)
Muñoz Vidal, María  (GCs)
Nacarino-Brabo Jiménez, Aurora  (GCs)
Narváez Bandera, María Dolores  (GS)
Nasarre Oliva, Begoña  (GS)
Navarro Lacoba, Carmen  (GP)
Nogueras i Camero, Míriam  (GMx)
Nuet Pujals, Joan Josep  (GR)
Olano Vela, Jaime Eduardo de  (GP)
Olona Choclán, Macarena  (GVOX)
Oramas González-Moro, Ana María  (GMx)
Ortega Otero, Marina  (GS)
Ortega Smith-Molina, Francisco Javier  (GVOX)
Padilla Ruiz, Esther  (GS)
Pastor Julián, Ana María  (GP)
Peña Camarero, Esther  (GS)
Perea i Conillas, María Mercè  (GS)
Pérez Abellás, Adolfo  (GS)
Pérez Díaz, María Teresa  (GCUP-EC-GC)
Pérez Merino, Mercedes  (GCUP-EC-GC)
Pino Ocampo, Beatriz  (GCs)
Píriz Maya, Víctor Valentín  (GP)
Pisarello Prados, Gerardo  (GCUP-EC-GC)
Pita Cárdenes, María del Carmen  (GCUP-EC-GC)
Planas Puchades, Luis  (GS)
Polo Llavata, Francisco  (GS)
Pons Sampietro, Pere Joan  (GS)
Prendes Prendes, José Ignacio  (GCs)
Prieto Nieto, Ana  (GS)
Prohens Rigo, Margarita  (GP)
Pujol i Farré, Norma  (GR)
Ramírez Carner, Arnau  (GS)
Ramírez del Río, José  (GVOX)
Ramírez Freire, Saúl  (GCs)
Ramón Utrabo, Elvira  (GS)
Ramos Esteban, César Joaquín  (GS)
Ramos Rodríguez, José Luis  (GS)
Raya Rodríguez, María Tamara  (GS)
Renau Martínez, Germán  (GS)
Reyes Rivera, Patricia  (GCs)
Ribera Rodríguez, Teresa  (GS)
Riolobos Regadera, Carmen  (GP)
Rivera Andrés, Irene  (GCs)
Rivera de la Cruz, Marta María  (GCs)
Rivera Díaz, Albert  (GCs)
Rivero Ortega, Enrique Víctor  (GCs)
Robles Fernández, Margarita  (GS)
Robles López, Joaquín  (GVOX)
Rodríguez Gómez de Celis, Alfonso  (GS)
Rodríguez Hernández, Melisa  (GCs)
Rodríguez Rodríguez, Alberto  (GCUP-EC-GC)
Rodríguez Salas, José Antonio  (GS)
Rojas García, Carlos  (GP)
Roldán Monés, Antonio  (GCs)
Romero Sánchez, Rosa María  (GP)
Romero Vilches, María de los Reyes  (GVOX)
Rominguera Salazar, María del Mar  (GS)
Ros Martínez, Susana  (GS)
Rosado Peinado, María Ángeles  (GCs)
Rosell Aguilar, María Victoria  (GCUP-EC-GC)
Rosety Fernández de Castro, Agustín  (GVOX)
Rosique i Saltor, Marta  (GR)
Rueda Perelló, Patricia  (GVOX)
Rufián Romero, Gabriel  (GR)
Ruiz de Pinedo Undiano, Iñaki  (GMx)
Ruiz i Carbonell, Joan  (GS)
Ruiz López, María Concepción  (GS)
Ruiz Solás, María de la Cabeza  (GVOX)
Rull Andreu, Josep  (GMx)
Saavedra Muñoz, Marisa  (GCUP-EC-GC)
Sáez Alonso-Muñumer, Pablo  (GVOX)
Sagastizabal Unzetabarrenetxea, Idoia  (GV (EAJ-PNV))
Sahuquillo García, Luis Carlos  (GS)
Salazar Rodríguez, Francisco José  (GS)
Salvador i Duch, Jordi  (GR)
Sánchez del Real, Víctor Manuel  (GVOX)
Sánchez Escobar, Mariano  (GS)
Sánchez Jódar, Marisol  (GS)
Sánchez Pérez, César  (GP)
Sánchez Pérez-Castejón, Pedro  (GS)
Sánchez Picanyol, Jordi  (GMx)
Sánchez Serna, Javier  (GCUP-EC-GC)
Sancho Íñiguez, Herminio Rufino  (GS)
Santamaría Ruiz, Luis  (GP)
Santiago Romero, Enrique Fernando  (GCUP-EC-GC)
Sarrià Morell, Vicent Manuel  (GS)
Saura García, Pedro  (GS)
Sayas López, Sergio  (GMx)
Serrada Pariente, David  (GS)
Serrano Martínez, Juan Francisco  (GS)
Seva Ruiz, Yolanda  (GS)
Sicilia Alférez, Felipe Jesús  (GS)
Simancas Simancas, Rafael  (GS)
Simón Marín, José  (GS)
Soler Mur, Alejandro  (GS)
Soto Burillo, Juan Luis  (GS)
Suárez Illana, Adolfo  (GP)
Suárez Lamata, Eloy  (GP)
Sumelzo Jordán, Susana  (GS)
Telechea i Lozano, Carolina  (GR)
Ten Oliver, Vicente  (GCs)
Tirado Ochoa, Vicente  (GP)
Toscano de Balbín, Carla  (GVOX)
Turull Negre, Jordi  (GMx)
Uriarte Bengoechea, Edurne  (GP)
Uriarte Torrealday, Roberto  (GCUP-EC-GC)
Valerio Cordero, Magdalena  (GS)
Valmaña Ochaíta, Silvia  (GP)
Vázquez Blanco, Ana Belén  (GP)
Velarde Gómez, Martina  (GCUP-EC-GC)
Velasco Morillo, Elvira  (GP)
Vera Ruíz-Herrera, Noelia  (GCUP-EC-GC)
Vicente Viondi, Daniel  (GS)
Vidal Sáez, Aina  (GCUP-EC-GC)
Vilas Liñares, María  (GCs)
Vilches Ruiz, María Luisa  (GS)
Villagrasa Quero, Noemí  (GS)
Villegas Pérez, José Manuel  (GCs)
Zamarrón Moreno, Agustín  (GS)
Zaragoza Alonso, José  (GS)
Zurita Expósito, Ana María  (GP)






